"Date","variable","value"
1965,"Magazines, newspapers, and stationery",1.329303354
1966,"Magazines, newspapers, and stationery",1.57206045
1967,"Magazines, newspapers, and stationery",1.61186878
1968,"Magazines, newspapers, and stationery",1.724732768
1969,"Magazines, newspapers, and stationery",1.89495024
1970,"Magazines, newspapers, and stationery",2.033468485
1971,"Magazines, newspapers, and stationery",2.079911537
1972,"Magazines, newspapers, and stationery",2.258901585
1973,"Magazines, newspapers, and stationery",2.484039808
1974,"Magazines, newspapers, and stationery",2.711389606
1975,"Magazines, newspapers, and stationery",2.917729451
1976,"Magazines, newspapers, and stationery",3.180759307
1977,"Magazines, newspapers, and stationery",3.506966458
1978,"Magazines, newspapers, and stationery",4.144489495
1979,"Magazines, newspapers, and stationery",4.837080722
1980,"Magazines, newspapers, and stationery",5.347880575
1981,"Magazines, newspapers, and stationery",5.847843715
1982,"Magazines, newspapers, and stationery",6.203464799
1983,"Magazines, newspapers, and stationery",6.602359012
1984,"Magazines, newspapers, and stationery",7.228308146
1985,"Magazines, newspapers, and stationery",7.480575009
1986,"Magazines, newspapers, and stationery",7.834647991
1987,"Magazines, newspapers, and stationery",8.491780317
1988,"Magazines, newspapers, and stationery",9.336527829
1989,"Magazines, newspapers, and stationery",10.02491707
1990,"Magazines, newspapers, and stationery",10.7607077
1991,"Magazines, newspapers, and stationery",11.14360487
1992,"Magazines, newspapers, and stationery",11.43332105
1993,"Magazines, newspapers, and stationery",12.04946554
1994,"Magazines, newspapers, and stationery",12.91116845
1995,"Magazines, newspapers, and stationery",13.58134906
1996,"Magazines, newspapers, and stationery",14.21076299
1997,"Magazines, newspapers, and stationery",14.80442315
1998,"Magazines, newspapers, and stationery",15.30062661
1999,"Magazines, newspapers, and stationery",16.0154073
2000,"Magazines, newspapers, and stationery",16.68020641
2001,"Magazines, newspapers, and stationery",16.23066716
2002,"Magazines, newspapers, and stationery",16.15967564
2003,"Magazines, newspapers, and stationery",16.25521563
2004,"Magazines, newspapers, and stationery",16.7460376
2005,"Magazines, newspapers, and stationery",17.10446001
2006,"Magazines, newspapers, and stationery",17.41924069
2007,"Magazines, newspapers, and stationery",17.02130483
2008,"Magazines, newspapers, and stationery",16.21083671
2009,"Magazines, newspapers, and stationery",15.27534095
2010,"Magazines, newspapers, and stationery",15.3965352
2011,"Magazines, newspapers, and stationery",15.44622189
2012,"Magazines, newspapers, and stationery",15.24268338
2013,"Magazines, newspapers, and stationery",15.8844084
2014,"Magazines, newspapers, and stationery",16.57058607
2015,"Magazines, newspapers, and stationery",17.23671213
2016,"Magazines, newspapers, and stationery",18.54087726
2017,"Magazines, newspapers, and stationery",20.02167342
2018,"Magazines, newspapers, and stationery",21.62956137
2019,"Magazines, newspapers, and stationery",23.83509031
2020,"Magazines, newspapers, and stationery",27.04077871
1959,"Net expenditures abroad",1
1960,"Net expenditures abroad",0.957247132
1961,"Net expenditures abroad",0.892596455
1962,"Net expenditures abroad",0.943691345
1963,"Net expenditures abroad",0.918665276
1964,"Net expenditures abroad",1.025026069
1965,"Net expenditures abroad",1.117831074
1966,"Net expenditures abroad",1.346193952
1967,"Net expenditures abroad",1.437956204
1968,"Net expenditures abroad",1.55995829
1969,"Net expenditures abroad",1.724713243
1970,"Net expenditures abroad",1.838373306
1971,"Net expenditures abroad",1.945776851
1972,"Net expenditures abroad",1.772419187
1973,"Net expenditures abroad",1.408759124
1974,"Net expenditures abroad",1.259384776
1975,"Net expenditures abroad",1.103232534
1976,"Net expenditures abroad",0.957247132
1977,"Net expenditures abroad",1.051094891
1978,"Net expenditures abroad",1.290667362
1979,"Net expenditures abroad",1.474452555
1980,"Net expenditures abroad",1.870959333
1981,"Net expenditures abroad",2.139468196
1982,"Net expenditures abroad",2.777372263
1983,"Net expenditures abroad",2.82012513
1984,"Net expenditures abroad",2.941084463
1985,"Net expenditures abroad",3.295620438
1986,"Net expenditures abroad",3.105578728
1987,"Net expenditures abroad",3.206465068
1988,"Net expenditures abroad",2.605578728
1989,"Net expenditures abroad",2.815693431
1990,"Net expenditures abroad",2.702554745
1991,"Net expenditures abroad",2.449947862
1992,"Net expenditures abroad",1.001042753
1993,"Net expenditures abroad",1.163972888
1994,"Net expenditures abroad",1.392335766
1995,"Net expenditures abroad",1.620437956
1996,"Net expenditures abroad",1.776850886
1997,"Net expenditures abroad",2.813607925
1998,"Net expenditures abroad",3.089937435
1999,"Net expenditures abroad",3.569343066
2000,"Net expenditures abroad",3.689259645
2001,"Net expenditures abroad",3.918665276
2002,"Net expenditures abroad",4.440563087
2003,"Net expenditures abroad",5.683785193
2004,"Net expenditures abroad",6.0862878
2005,"Net expenditures abroad",6.194212722
2006,"Net expenditures abroad",6.67101147
2007,"Net expenditures abroad",7.609489051
2008,"Net expenditures abroad",8.255735141
2009,"Net expenditures abroad",9.381386861
2010,"Net expenditures abroad",8.729144943
2011,"Net expenditures abroad",10.00834202
2012,"Net expenditures abroad",9.266944734
2013,"Net expenditures abroad",8.240615224
2014,"Net expenditures abroad",8.294577685
2015,"Net expenditures abroad",7.626955162
2016,"Net expenditures abroad",7.3318561
2017,"Net expenditures abroad",7.258342023
2018,"Net expenditures abroad",10.82612096
2019,"Net expenditures abroad",11.83159541
2020,"Net expenditures abroad",12.01347066
1959,"Housing expenditure",1
1960,"Housing expenditure",1.068765464
1961,"Housing expenditure",1.136546939
1962,"Housing expenditure",1.214481131
1963,"Housing expenditure",1.284725422
1964,"Housing expenditure",1.359724711
1965,"Housing expenditure",1.447595484
1966,"Housing expenditure",1.535944032
1967,"Housing expenditure",1.635036828
1968,"Housing expenditure",1.759030799
1969,"Housing expenditure",1.915809231
1970,"Housing expenditure",2.071268094
1971,"Housing expenditure",2.268862156
1972,"Housing expenditure",2.47373091
1973,"Housing expenditure",2.707141029
1974,"Housing expenditure",2.958689532
1975,"Housing expenditure",3.240212724
1976,"Housing expenditure",3.549964451
1977,"Housing expenditure",3.943975201
1978,"Housing expenditure",4.424986491
1979,"Housing expenditure",4.96034468
1980,"Housing expenditure",5.609339362
1981,"Housing expenditure",6.323658391
1982,"Housing expenditure",6.893848648
1983,"Housing expenditure",7.444831215
1984,"Housing expenditure",8.137695874
1985,"Housing expenditure",8.978147485
1986,"Housing expenditure",9.794824105
1987,"Housing expenditure",10.4996957
1988,"Housing expenditure",11.31485368
1989,"Housing expenditure",12.08172226
1990,"Housing expenditure",12.98231095
1991,"Housing expenditure",13.6847368
1992,"Housing expenditure",14.43465006
1993,"Housing expenditure",15.16104997
1994,"Housing expenditure",16.14105736
1995,"Housing expenditure",17.20155277
1996,"Housing expenditure",18.09692006
1997,"Housing expenditure",19.09271109
1998,"Housing expenditure",20.34336661
1999,"Housing expenditure",21.58130421
2000,"Housing expenditure",22.98979609
2001,"Housing expenditure",24.69662998
2002,"Housing expenditure",25.78473395
2003,"Housing expenditure",26.78142366
2004,"Housing expenditure",28.26259989
2005,"Housing expenditure",30.31567841
2006,"Housing expenditure",32.21959446
2007,"Housing expenditure",33.67175156
2008,"Housing expenditure",35.02294457
2009,"Housing expenditure",36.11578648
2010,"Housing expenditure",36.4930296
2011,"Housing expenditure",37.66835594
2012,"Housing expenditure",38.76831328
2013,"Housing expenditure",39.75611865
2014,"Housing expenditure",41.56996843
2015,"Housing expenditure",44.15122714
2016,"Housing expenditure",46.4677701
2017,"Housing expenditure",48.53502261
2018,"Housing expenditure",50.60166084
2019,"Housing expenditure",53.02339391
2020,"Housing expenditure",55.88148953
1959,"Household utilities",1
1960,"Household utilities",1.09550846
1961,"Household utilities",1.163190736
1962,"Household utilities",1.247400079
1963,"Household utilities",1.319776266
1964,"Household utilities",1.392321097
1965,"Household utilities",1.460621733
1966,"Household utilities",1.54202035
1967,"Household utilities",1.627719377
1968,"Household utilities",1.735004778
1969,"Household utilities",1.885968857
1970,"Household utilities",2.0666142
1971,"Household utilities",2.277362415
1972,"Household utilities",2.52459385
1973,"Household utilities",2.754061499
1974,"Household utilities",3.207993704
1975,"Household utilities",3.834588791
1976,"Household utilities",4.342992861
1977,"Household utilities",4.997807634
1978,"Household utilities",5.597166788
1979,"Household utilities",6.226010456
1980,"Household utilities",7.409297881
1981,"Household utilities",8.333492608
1982,"Household utilities",9.498847602
1983,"Household utilities",10.56818821
1984,"Household utilities",11.22353702
1985,"Household utilities",11.91598741
1986,"Household utilities",11.96877284
1987,"Household utilities",12.3737422
1988,"Household utilities",13.16625443
1989,"Household utilities",13.95592782
1990,"Household utilities",14.15692282
1991,"Household utilities",15.03766372
1992,"Household utilities",15.36401709
1993,"Household utilities",16.70181011
1994,"Household utilities",17.3009163
1995,"Household utilities",17.71968632
1996,"Household utilities",18.77702513
1997,"Household utilities",19.18334364
1998,"Household utilities",19.25965484
1999,"Household utilities",19.62493676
2000,"Household utilities",21.14430266
2001,"Household utilities",22.70883692
2002,"Household utilities",22.51360391
2003,"Household utilities",24.39428861
2004,"Household utilities",25.50275451
2005,"Household utilities",28.23461128
2006,"Household utilities",29.92877621
2007,"Household utilities",31.27578841
2008,"Household utilities",33.27556355
2009,"Household utilities",32.630502
2010,"Household utilities",33.71524538
2011,"Household utilities",33.7583338
2012,"Household utilities",32.86491652
2013,"Household utilities",34.60936534
2014,"Household utilities",36.28646917
2015,"Household utilities",35.67142616
2016,"Household utilities",35.52970937
2017,"Household utilities",36.67628872
2018,"Household utilities",38.90971949
2019,"Household utilities",39.41798302
2020,"Household utilities",40.42305438
1959,"Health care",1
1960,"Health care",1.080859671
1961,"Health care",1.154336283
1962,"Health care",1.290231774
1963,"Health care",1.414412137
1964,"Health care",1.628284871
1965,"Health care",1.755566793
1966,"Health care",1.933636747
1967,"Health care",2.152785504
1968,"Health care",2.466144121
1969,"Health care",2.835802781
1970,"Health care",3.213721028
1971,"Health care",3.622418879
1972,"Health care",4.034892541
1973,"Health care",4.529304678
1974,"Health care",5.129894648
1975,"Health care",6.000842815
1976,"Health care",6.867189212
1977,"Health care",7.800471976
1978,"Health care",8.846321113
1979,"Health care",10.03553308
1980,"Health care",11.57424357
1981,"Health care",13.61400759
1982,"Health care",15.18297514
1983,"Health care",17.06698694
1984,"Health care",18.64148335
1985,"Health care",20.37559208
1986,"Health care",22.26105352
1987,"Health care",24.6783818
1988,"Health care",27.64782132
1989,"Health care",30.42280657
1990,"Health care",34.13068689
1991,"Health care",37.47221239
1992,"Health care",41.31716814
1993,"Health care",43.74604298
1994,"Health care",45.88020228
1995,"Health care",48.53842394
1996,"Health care",50.70820059
1997,"Health care",53.32981037
1998,"Health care",56.10080067
1999,"Health care",58.2276949
2000,"Health care",61.92495575
2001,"Health care",67.19352718
2002,"Health care",73.01286136
2003,"Health care",77.81200169
2004,"Health care",83.53129372
2005,"Health care",89.03721871
2006,"Health care",93.84857986
2007,"Health care",99.66853772
2008,"Health care",104.8695154
2009,"Health care",110.087619
2010,"Health care",114.5931058
2011,"Health care",118.4759376
2012,"Health care",122.8010619
2013,"Health care",125.292204
2014,"Health care",130.8417868
2015,"Health care",138.7154488
2016,"Health care",145.9820312
2017,"Health care",151.5907796
2018,"Health care",158.1126338
2019,"Health care",165.248327
2020,"Health care",151.1991537
1959,"Motor vehicle services",1
1960,"Motor vehicle services",1.066169746
1961,"Motor vehicle services",1.128406804
1962,"Motor vehicle services",1.201024328
1963,"Motor vehicle services",1.284571063
1964,"Motor vehicle services",1.37479422
1965,"Motor vehicle services",1.468767148
1966,"Motor vehicle services",1.578150723
1967,"Motor vehicle services",1.710581672
1968,"Motor vehicle services",1.884214377
1969,"Motor vehicle services",2.101152369
1970,"Motor vehicle services",2.374428389
1971,"Motor vehicle services",2.664166819
1972,"Motor vehicle services",2.895738065
1973,"Motor vehicle services",3.044631425
1974,"Motor vehicle services",3.245838668
1975,"Motor vehicle services",3.772452899
1976,"Motor vehicle services",4.207060545
1977,"Motor vehicle services",4.872324858
1978,"Motor vehicle services",5.393634534
1979,"Motor vehicle services",6.072800439
1980,"Motor vehicle services",6.425096031
1981,"Motor vehicle services",7.025608195
1982,"Motor vehicle services",7.281690141
1983,"Motor vehicle services",8.234680812
1984,"Motor vehicle services",9.689409182
1985,"Motor vehicle services",11.3477227
1986,"Motor vehicle services",12.03566856
1987,"Motor vehicle services",13.13407719
1988,"Motor vehicle services",14.54563746
1989,"Motor vehicle services",15.50713371
1990,"Motor vehicle services",15.95070423
1991,"Motor vehicle services",15.43410463
1992,"Motor vehicle services",17.035257
1993,"Motor vehicle services",18.43282422
1994,"Motor vehicle services",20.45980428
1995,"Motor vehicle services",22.42002012
1996,"Motor vehicle services",24.3967441
1997,"Motor vehicle services",26.48394915
1998,"Motor vehicle services",27.80880739
1999,"Motor vehicle services",29.92756539
2000,"Motor vehicle services",31.89518932
2001,"Motor vehicle services",32.76257545
2002,"Motor vehicle services",32.14953357
2003,"Motor vehicle services",32.61295043
2004,"Motor vehicle services",33.66832815
2005,"Motor vehicle services",35.41988293
2006,"Motor vehicle services",36.9827602
2007,"Motor vehicle services",38.31987379
2008,"Motor vehicle services",38.3474026
2009,"Motor vehicle services",36.34927748
2010,"Motor vehicle services",36.76513627
2011,"Motor vehicle services",38.35645692
2012,"Motor vehicle services",39.77944942
2013,"Motor vehicle services",41.74373514
2014,"Motor vehicle services",44.58203768
2015,"Motor vehicle services",46.81653558
2016,"Motor vehicle services",50.07522407
2017,"Motor vehicle services",52.25137187
2018,"Motor vehicle services",54.59150357
2019,"Motor vehicle services",55.97809585
2020,"Motor vehicle services",51.74180519
1959,"Public transportation",1
1960,"Public transportation",1.037547418
1961,"Public transportation",1.050940621
1962,"Public transportation",1.105055353
1963,"Public transportation",1.114190602
1964,"Public transportation",1.187272587
1965,"Public transportation",1.270728497
1966,"Public transportation",1.374700008
1967,"Public transportation",1.525044515
1968,"Public transportation",1.7252458
1969,"Public transportation",2.009832004
1970,"Public transportation",2.187195169
1971,"Public transportation",2.413718356
1972,"Public transportation",2.698227143
1973,"Public transportation",2.920956879
1974,"Public transportation",3.321669118
1975,"Public transportation",3.536502284
1976,"Public transportation",4.073778741
1977,"Public transportation",4.570178834
1978,"Public transportation",4.865758303
1979,"Public transportation",5.420840752
1980,"Public transportation",6.26801889
1981,"Public transportation",6.620809786
1982,"Public transportation",6.787876442
1983,"Public transportation",7.394983355
1984,"Public transportation",8.374700008
1985,"Public transportation",8.70387861
1986,"Public transportation",9.045366571
1987,"Public transportation",9.690640242
1988,"Public transportation",10.72338778
1989,"Public transportation",11.47929086
1990,"Public transportation",12.12951924
1991,"Public transportation",12.16869242
1992,"Public transportation",12.53851514
1993,"Public transportation",13.92343423
1994,"Public transportation",15.20980104
1995,"Public transportation",16.65688627
1996,"Public transportation",18.36626152
1997,"Public transportation",20.75265154
1998,"Public transportation",22.65200898
1999,"Public transportation",24.07060463
2000,"Public transportation",26.91282806
2001,"Public transportation",24.98645196
2002,"Public transportation",23.56963691
2003,"Public transportation",25.18340172
2004,"Public transportation",26.96748471
2005,"Public transportation",27.94573043
2006,"Public transportation",29.37872571
2007,"Public transportation",30.36579701
2008,"Public transportation",31.90949911
2009,"Public transportation",30.54586978
2010,"Public transportation",32.25462569
2011,"Public transportation",36.74769683
2012,"Public transportation",38.26770922
2013,"Public transportation",40.79097314
2014,"Public transportation",43.1405125
2015,"Public transportation",44.19780135
2016,"Public transportation",45.08570101
2017,"Public transportation",47.89657041
2018,"Public transportation",52.09754587
2019,"Public transportation",54.93210498
2020,"Public transportation",30.59976332
1959,"Membership clubs",1
1960,"Membership clubs",1.093152064
1961,"Membership clubs",1.171989642
1962,"Membership clubs",1.24672709
1963,"Membership clubs",1.313695871
1964,"Membership clubs",1.383182276
1965,"Membership clubs",1.452524817
1966,"Membership clubs",1.565961732
1967,"Membership clubs",1.643072939
1968,"Membership clubs",1.826068192
1969,"Membership clubs",1.992950655
1970,"Membership clubs",2.179758308
1971,"Membership clubs",2.32808229
1972,"Membership clubs",2.482664365
1973,"Membership clubs",2.694288592
1974,"Membership clubs",3.10020141
1975,"Membership clubs",3.483095957
1976,"Membership clubs",3.801035822
1977,"Membership clubs",4.304920155
1978,"Membership clubs",4.782837002
1979,"Membership clubs",5.26046612
1980,"Membership clubs",5.797439217
1981,"Membership clubs",6.5058265
1982,"Membership clubs",7.090202849
1983,"Membership clubs",7.830168321
1984,"Membership clubs",8.454251187
1985,"Membership clubs",9.205509999
1986,"Membership clubs",9.760250324
1987,"Membership clubs",10.3005323
1988,"Membership clubs",11.51402676
1989,"Membership clubs",13.03575025
1990,"Membership clubs",14.30973961
1991,"Membership clubs",14.99259099
1992,"Membership clubs",16.5230902
1993,"Membership clubs",17.61825637
1994,"Membership clubs",18.47374478
1995,"Membership clubs",20.00697741
1996,"Membership clubs",21.46633578
1997,"Membership clubs",22.728816
1998,"Membership clubs",23.97345706
1999,"Membership clubs",25.11480363
2000,"Membership clubs",26.45043879
2001,"Membership clubs",27.13724644
2002,"Membership clubs",28.05697022
2003,"Membership clubs",29.86778881
2004,"Membership clubs",31.73737592
2005,"Membership clubs",33.9341102
2006,"Membership clubs",36.60451734
2007,"Membership clubs",39.50395627
2008,"Membership clubs",40.79643217
2009,"Membership clubs",40.62286002
2010,"Membership clubs",42.03258524
2011,"Membership clubs",42.3547691
2012,"Membership clubs",44.21435765
2013,"Membership clubs",46.065674
2014,"Membership clubs",48.36131492
2015,"Membership clubs",51.11501942
2016,"Membership clubs",53.97583082
2017,"Membership clubs",56.95835132
2018,"Membership clubs",60.11732125
2019,"Membership clubs",62.78744066
2020,"Membership clubs",35.5538331
1959,"Audio-visual services",1
1960,"Audio-visual services",1.099887946
1961,"Audio-visual services",1.173203138
1962,"Audio-visual services",1.238834641
1963,"Audio-visual services",1.318392829
1964,"Audio-visual services",1.39779094
1965,"Audio-visual services",1.48231151
1966,"Audio-visual services",1.624459741
1967,"Audio-visual services",1.794781495
1968,"Audio-visual services",2.025612294
1969,"Audio-visual services",2.265407396
1970,"Audio-visual services",2.433007844
1971,"Audio-visual services",2.635344966
1972,"Audio-visual services",2.753161518
1973,"Audio-visual services",3.189210821
1974,"Audio-visual services",3.6427085
1975,"Audio-visual services",4.138946694
1976,"Audio-visual services",4.800384184
1977,"Audio-visual services",5.154954378
1978,"Audio-visual services",5.52072995
1979,"Audio-visual services",6.180886826
1980,"Audio-visual services",6.872738915
1981,"Audio-visual services",7.907955819
1982,"Audio-visual services",8.97214663
1983,"Audio-visual services",10.63406435
1984,"Audio-visual services",12.14486954
1985,"Audio-visual services",14.04065952
1986,"Audio-visual services",15.67616456
1987,"Audio-visual services",17.39170802
1988,"Audio-visual services",19.94157195
1989,"Audio-visual services",22.19049144
1990,"Audio-visual services",24.25180086
1991,"Audio-visual services",25.2204258
1992,"Audio-visual services",27.27533216
1993,"Audio-visual services",29.44069153
1994,"Audio-visual services",29.77397151
1995,"Audio-visual services",32.01168561
1996,"Audio-visual services",33.7906195
1997,"Audio-visual services",35.56251
1998,"Audio-visual services",38.42580439
1999,"Audio-visual services",41.9454138
2000,"Audio-visual services",44.90987674
2001,"Audio-visual services",46.51928926
2002,"Audio-visual services",47.02465183
2003,"Audio-visual services",48.60220906
2004,"Audio-visual services",51.81783256
2005,"Audio-visual services",51.93420842
2006,"Audio-visual services",53.9764687
2007,"Audio-visual services",57.46662398
2008,"Audio-visual services",61.17240275
2009,"Audio-visual services",64.26172563
2010,"Audio-visual services",68.13606531
2011,"Audio-visual services",69.01664799
2012,"Audio-visual services",74.45205699
2013,"Audio-visual services",77.29262046
2014,"Audio-visual services",80.46726429
2015,"Audio-visual services",85.86409477
2016,"Audio-visual services",90.79798303
2017,"Audio-visual services",90.19529374
2018,"Audio-visual services",91.80070434
2019,"Audio-visual services",93.11509525
2020,"Audio-visual services",93.08468065
1959,"Gambling",1
1960,"Gambling",1.088258165
1961,"Gambling",1.166018663
1962,"Gambling",1.33437014
1963,"Gambling",1.446345257
1964,"Gambling",1.625194401
1965,"Gambling",1.713063764
1966,"Gambling",1.829315708
1967,"Gambling",1.972006221
1968,"Gambling",2.144634526
1969,"Gambling",2.360808709
1970,"Gambling",2.592534992
1971,"Gambling",2.906687403
1972,"Gambling",3.385692068
1973,"Gambling",4.127527216
1974,"Gambling",4.723172628
1975,"Gambling",5.360808709
1976,"Gambling",6.111975117
1977,"Gambling",6.860031104
1978,"Gambling",8.059097978
1979,"Gambling",9.121306376
1980,"Gambling",10.42301711
1981,"Gambling",13.10575428
1982,"Gambling",15.05132193
1983,"Gambling",17.18973561
1984,"Gambling",19.53965785
1985,"Gambling",22.16640747
1986,"Gambling",24.13063764
1987,"Gambling",26.34214619
1988,"Gambling",30.61586314
1989,"Gambling",33.05559876
1990,"Gambling",36.7962675
1991,"Gambling",38.35769829
1992,"Gambling",43.66990669
1993,"Gambling",51.75311042
1994,"Gambling",61.59836703
1995,"Gambling",70.63491446
1996,"Gambling",78.21345257
1997,"Gambling",84.77954899
1998,"Gambling",86.9059098
1999,"Gambling",96.9525661
2000,"Gambling",105.0633748
2001,"Gambling",108.8487558
2002,"Gambling",115.1745723
2003,"Gambling",126.1796267
2004,"Gambling",139.7597201
2005,"Gambling",149.4412908
2006,"Gambling",161.9148523
2007,"Gambling",169.9214619
2008,"Gambling",172.1975117
2009,"Gambling",166.7414463
2010,"Gambling",170.090591
2011,"Gambling",173.3355365
2012,"Gambling",179.5758165
2013,"Gambling",184.9984448
2014,"Gambling",189.5412131
2015,"Gambling",195.4160187
2016,"Gambling",202.8895801
2017,"Gambling",211.3413686
2018,"Gambling",220.4537325
2019,"Gambling",228.6349145
2020,"Gambling",144.282223
1959,"Other recreational services",1
1960,"Other recreational services",1.095634096
1961,"Other recreational services",1.203742204
1962,"Other recreational services",1.367983368
1963,"Other recreational services",1.542619543
1964,"Other recreational services",1.845114345
1965,"Other recreational services",2.123700624
1966,"Other recreational services",2.544698545
1967,"Other recreational services",2.785862786
1968,"Other recreational services",3.382536383
1969,"Other recreational services",3.91995842
1970,"Other recreational services",3.988565489
1971,"Other recreational services",4.330561331
1972,"Other recreational services",5.091476091
1973,"Other recreational services",5.611226611
1974,"Other recreational services",6.016632017
1975,"Other recreational services",6.803534304
1976,"Other recreational services",7.888773389
1977,"Other recreational services",8.892931393
1978,"Other recreational services",10.07692308
1979,"Other recreational services",12.16008316
1980,"Other recreational services",13.52494802
1981,"Other recreational services",15.54054054
1982,"Other recreational services",17.22453222
1983,"Other recreational services",18.93762994
1984,"Other recreational services",21.63513514
1985,"Other recreational services",24.04469854
1986,"Other recreational services",26.81912682
1987,"Other recreational services",30.67671518
1988,"Other recreational services",34.87318087
1989,"Other recreational services",39.28794179
1990,"Other recreational services",43.65280665
1991,"Other recreational services",45.83367983
1992,"Other recreational services",48.63721414
1993,"Other recreational services",53.58108108
1994,"Other recreational services",59.65384615
1995,"Other recreational services",67.13201663
1996,"Other recreational services",74.48232848
1997,"Other recreational services",80.12474012
1998,"Other recreational services",87.28690229
1999,"Other recreational services",95.3004158
2000,"Other recreational services",102.983368
2001,"Other recreational services",105.3357588
2002,"Other recreational services",109.7422037
2003,"Other recreational services",116.510395
2004,"Other recreational services",126.3347193
2005,"Other recreational services",137.1580042
2006,"Other recreational services",148.2338877
2007,"Other recreational services",163.3669439
2008,"Other recreational services",170.5727651
2009,"Other recreational services",164.8160083
2010,"Other recreational services",174.1330561
2011,"Other recreational services",177.002079
2012,"Other recreational services",188.6049896
2013,"Other recreational services",196.6444906
2014,"Other recreational services",211.9345114
2015,"Other recreational services",225.6361746
2016,"Other recreational services",242.8451143
2017,"Other recreational services",265.3399168
2018,"Other recreational services",281.6881497
2019,"Other recreational services",290.1964657
2020,"Other recreational services",216.2437948
1959,"Food services",1
1960,"Food services",1.034806608
1961,"Food services",1.057850243
1962,"Food services",1.120322611
1963,"Food services",1.16906258
1964,"Food services",1.247397543
1965,"Food services",1.360204177
1966,"Food services",1.483648397
1967,"Food services",1.54160582
1968,"Food services",1.721748101
1969,"Food services",1.861497032
1970,"Food services",2.067965327
1971,"Food services",2.182607414
1972,"Food services",2.412293512
1973,"Food services",2.70675634
1974,"Food services",2.995940569
1975,"Food services",3.404603368
1976,"Food services",3.837850511
1977,"Food services",4.221982557
1978,"Food services",4.782237644
1979,"Food services",5.448346083
1980,"Food services",5.973459627
1981,"Food services",6.539167482
1982,"Food services",6.957369274
1983,"Food services",7.486421672
1984,"Food services",7.972843343
1985,"Food services",8.37101593
1986,"Food services",8.973620396
1987,"Food services",9.772001983
1988,"Food services",10.80592436
1989,"Food services",11.61128602
1990,"Food services",12.59981779
1991,"Food services",13.08593132
1992,"Food services",13.6193111
1993,"Food services",14.23925189
1994,"Food services",14.65127745
1995,"Food services",14.98299862
1996,"Food services",15.36210662
1997,"Food services",15.99829852
1998,"Food services",16.86041184
1999,"Food services",17.71286558
2000,"Food services",18.96124114
2001,"Food services",19.6979944
2002,"Food services",20.52808778
2003,"Food services",21.68189065
2004,"Food services",23.15397704
2005,"Food services",24.54989885
2006,"Food services",26.05833255
2007,"Food services",27.30917324
2008,"Food services",28.074999
2009,"Food services",27.86779384
2010,"Food services",28.78235822
2011,"Food services",30.21973178
2012,"Food services",31.69757908
2013,"Food services",32.86352005
2014,"Food services",34.75983709
2015,"Food services",37.32374968
2016,"Food services",39.18165619
2017,"Food services",41.14516151
2018,"Food services",43.42294449
2019,"Food services",45.1895205
2020,"Food services",37.38485359
1959,"Accommodations",1
1960,"Accommodations",1.089749536
1961,"Accommodations",1.135435993
1962,"Accommodations",1.253246753
1963,"Accommodations",1.382884972
1964,"Accommodations",1.485157699
1965,"Accommodations",1.668599258
1966,"Accommodations",1.807977737
1967,"Accommodations",2.0317718
1968,"Accommodations",2.287801484
1969,"Accommodations",2.527829314
1970,"Accommodations",2.815398887
1971,"Accommodations",2.846938776
1972,"Accommodations",3.591604824
1973,"Accommodations",4.010435993
1974,"Accommodations",4.368042672
1975,"Accommodations",4.907467532
1976,"Accommodations",5.738868275
1977,"Accommodations",6.383812616
1978,"Accommodations",7.296846011
1979,"Accommodations",8.583719852
1980,"Accommodations",9.513218924
1981,"Accommodations",11.03246753
1982,"Accommodations",11.76461039
1983,"Accommodations",12.84879406
1984,"Accommodations",14.9724026
1985,"Accommodations",16.78455473
1986,"Accommodations",17.84485158
1987,"Accommodations",20.43715213
1988,"Accommodations",22.45431354
1989,"Accommodations",24.05125232
1990,"Accommodations",25.6208256
1991,"Accommodations",27.09508349
1992,"Accommodations",29.84461967
1993,"Accommodations",30.33186456
1994,"Accommodations",32.37639147
1995,"Accommodations",33.90514842
1996,"Accommodations",37.01043599
1997,"Accommodations",41.64679963
1998,"Accommodations",43.80032468
1999,"Accommodations",46.20060297
2000,"Accommodations",50.98283859
2001,"Accommodations",48.32513915
2002,"Accommodations",49.39842301
2003,"Accommodations",53.92115028
2004,"Accommodations",61.38265306
2005,"Accommodations",70.06052876
2006,"Accommodations",78.24211503
2007,"Accommodations",85.25231911
2008,"Accommodations",89.30009276
2009,"Accommodations",85.96312616
2010,"Accommodations",91.45176252
2011,"Accommodations",97.91906308
2012,"Accommodations",105.2346939
2013,"Accommodations",110.3981911
2014,"Accommodations",119.0227273
2015,"Accommodations",126.528525
2016,"Accommodations",131.815167
2017,"Accommodations",135.3798701
2018,"Accommodations",140.0176252
2019,"Accommodations",144.9471243
2020,"Accommodations",81.53704896
1959,"Financial services",1
1960,"Financial services",1.07249467
1961,"Financial services",1.197488747
1962,"Financial services",1.210092395
1963,"Financial services",1.257806207
1964,"Financial services",1.41952144
1965,"Financial services",1.549774935
1966,"Financial services",1.752475717
1967,"Financial services",1.964226487
1968,"Financial services",2.229661218
1969,"Financial services",2.516891732
1970,"Financial services",2.724946695
1971,"Financial services",3.035394456
1972,"Financial services",3.347311064
1973,"Financial services",3.554939588
1974,"Financial services",4.136744847
1975,"Financial services",5.292489931
